CNES,HOSPITAL,PORTE,NOME_NORM,Latitude,Longitude,SOBRECARREGADO_REDE_PULMAO
2333848,HOSPITAL MATERNIDADE PROFESSOR WALDEMAR ALCANTARA,Pequeno,HOSPITAL MATERNIDADE PROFESSOR WALDEMAR ALCANTARA,-3.8321166,-38.4801848,False
2806339,HOSP MUNICIPAL NATERCIA JUNIOR RIOS,Pequeno,HOSP MUNICIPAL NATERCIA JUNIOR RIOS,-2.92015541127297,-39.91522126457491,False
2327961,HOSPITAL E MATERNIDADE ADOLFO BEZERRA DE MENEZES,Pequeno,HOSPITAL E MATERNIDADE ADOLFO BEZERRA DE MENEZES,-5.602428448211365,-38.7616476160288,False
2527677,HOSPITAL MUNICIPAL SANTA ROSA DE LIMA,Pequeno,HOSPITAL MUNICIPAL SANTA ROSA DE LIMA,-5.453241683092813,-38.46866513067788,False
2374064,HOSPITAL MUNICIPAL GOVERNADOR ADAUTO BEZERRA,Pequeno,HOSPITAL MUNICIPAL GOVERNADOR ADAUTO BEZERRA,-5.882928396218683,-38.61764924153432,False
2560976,HOSPITAL MATERNIDADE NOSSA SENHORA DA EXPECTACAO,Pequeno,HOSPITAL MATERNIDADE NOSSA SENHORA DA EXPECTACAO,-4.839481789883542,-37.78442368313681,False
2425599,HOSPITAL MUNICIPAL DE JARDIM,Pequeno,HOSPITAL MUNICIPAL DE JARDIM,-7.5993135,-39.1959729,False
2426730,HOSP MUNICIPAL DE JATI,Pequeno,HOSP MUNICIPAL DE JATI,-7.691576074060745,-39.00951886649605,False
2554623,HOSPITAL MUNICIPAL DE JIJOCA DE JERICOACOARA,Pequeno,HOSPITAL MUNICIPAL DE JIJOCA DE JERICOACOARA,-2.897683493295364,-40.45747539301941,False
2562499,HOSPITAL MATERNIDADE SAO LUCAS,Medio,HOSPITAL MATERNIDADE SAO LUCAS,-7.205665480644018,-39.31019262874244,False
2426072,HOSPITAL INFANTIL MUNICIPAL MARIA AMELIA BEZERRA,Pequeno,HOSPITAL INFANTIL MUNICIPAL MARIA AMELIA BEZERRA,-7.220167825368464,-39.317204311825456,False
5077680,HOSPITAL MUNICIPAL JOSE FACUNDO FILHO,Medio,HOSPITAL MUNICIPAL JOSE FACUNDO FILHO,-6.514021899999999,-39.51603619999999,False
2554518,HOSPITAL SAO VICENTE FERRER,Medio,HOSPITAL SAO VICENTE FERRER,-6.755822504665691,-38.95522751414177,False
2527707,HOSPITAL SAO RAIMUNDO,Medio,HOSPITAL SAO RAIMUNDO,-3.7307661,-38.50626099999999,True
2478994,HOSP MATERN MAE TOTONHA,Pequeno,HOSP MATERN MAE TOTONHA,-4.850944966932015,-39.57605705425922,False
2372150,ABEMP,Medio,ABEMP,-3.8631455122918097,-38.58663872259474,False
2806215,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,Grande,HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,-3.878280299999999,-38.6235309,False
2372207,HOSPITAL ANA LIMA,Pequeno,HOSPITAL ANA LIMA,-3.850254296869324,-38.59617831874811,False
2554798,HOSP MUNICIPAL DR ARGEU BRAGA HERBSTER,Pequeno,HOSP MUNICIPAL DR ARGEU BRAGA HERBSTER,-3.879736294163459,-38.67685226050447,True
2560984,HOSPITAL MUNICIPAL JAIME OSTERNO,Pequeno,HOSPITAL MUNICIPAL JAIME OSTERNO,-3.1183744,-40.1498955,False
2333902,HOSP IMACULADA CONCEICAO,Pequeno,HOSP IMACULADA CONCEICAO,-3.2260797462938946,-40.69335061482676,False
2478277,HOSPITAL SENADOR OZIRES PONTES,Pequeno,HOSPITAL SENADOR OZIRES PONTES,-3.5315279,-40.3418157,False
2560828,HOSPITAL MUNICIPAL E MATERNIDADE SAO JOSE,Medio,HOSPITAL MUNICIPAL E MATERNIDADE SAO JOSE,-7.389319493733981,-38.77165820353597,False
2561069,HOSPITAL CHAGAS BARRETO,Pequeno,HOSPITAL CHAGAS BARRETO,-3.5385006,-40.4569375,False
3759148,HOSPITAL MUNICIPAL NOSSA SENHORA DOS MILAGRES,Pequeno,HOSPITAL MUNICIPAL NOSSA SENHORA DOS MILAGRES,-7.313674100000001,-38.9469152,False
2328100,HOSPITAL MUNICIPAL JOAO LEOPOLDO PINHEIRO LANDIM,Pequeno,HOSPITAL MUNICIPAL JOAO LEOPOLDO PINHEIRO LANDIM,-5.6775925,-39.1909504,False
2425432,SOPRAFA,Medio,SOPRAFA,-7.249465172366208,-39.14948769723912,False
2333880,HOSP MATERN ANT ADERALDO CASTELO,Pequeno,HOSP MATERN ANT ADERALDO CASTELO,-5.74745594232208,-39.63152567670205,False
2414864,HOSP MATERN F FARIAS LEITAO,Pequeno,HOSP MATERN F FARIAS LEITAO,-4.789272972512497,-40.06605650167611,False
3302490,HOSPITAL REGIONAL FRANCISCO GALVAO DE OLIVEIRA,Medio,HOSPITAL REGIONAL FRANCISCO GALVAO DE OLIVEIRA,-5.104074499999999,-38.3627461,False
2478374,UNID MISTA DE MORAUJO,Pequeno,UNID MISTA DE MORAUJO,-3.46676863225564,-40.67810148869348,False
2563479,HOSPITAL MUNICIPAL DE MORRINHOS,Pequeno,HOSPITAL MUNICIPAL DE MORRINHOS,-3.2269566189007146,-40.12116267632666,False
2664151,HOSPITAL MUNICIPAL SENADOR CARLOS JEREISSATI,Pequeno,HOSPITAL MUNICIPAL SENADOR CARLOS JEREISSATI,-5.308903,-38.9226043,True
2333856,HOSP MATERN WALDEMAR ALCANTARA,Pequeno,HOSP MATERN WALDEMAR ALCANTARA,-4.305569544062552,-38.99715657346765,False
